iter	Passed	Remaining
1180	71636	534941
1181	71695	534868
1182	71755	534800
1183	71815	534733
1184	71869	534626
1185	71929	534557
1186	71988	534485
1187	72045	534395
1188	72106	534338
1189	72164	534259
1190	72224	534197
1191	72286	534144
1192	72351	534115
1193	72408	534029
1194	72469	533971
1195	72530	533913
1196	72590	533850
1197	72649	533777
1198	72708	533697
1199	72768	533636
1200	72826	533554
1201	72892	533535
1202	72952	533466
1203	73014	533420
1204	73075	533359
1205	73135	533296
1206	73198	533253
1207	73258	533188
1208	73318	533118
1209	73378	533052
1210	73441	533010
1211	73497	532918
1212	73558	532860
1213	73615	532770
1214	73673	532689
1215	73732	532622
1216	73790	532537
1217	73851	532481
1218	73911	532414
1219	73974	532373
1220	74034	532307
1221	74092	532225
1222	74154	532178
1223	74217	532137
1224	74277	532068
1225	74334	531983
1226	74390	531887
1227	74453	531847
1228	74510	531755
1229	74569	531687
1230	74628	531616
1231	74689	531558
1232	74751	531503
1233	74811	531442
1234	74872	531380
1235	74930	531302
1236	74991	531244
1237	75053	531195
1238	75111	531115
1239	75171	531049
1240	75231	530982
1241	75289	530905
1242	75350	530845
1243	75408	530772
1244	75469	530713
1245	75526	530623
1246	75588	530577
1247	75648	530508
1248	75711	530463
1249	75771	530399
1250	75833	530346
1251	75891	530270
1252	75952	530209
1253	76016	530174
1254	76077	530115
1255	76135	530038
1256	76200	530010
1257	76261	529951
1258	76320	529880
1259	76376	529783
1260	76435	529711
1261	76494	529641
1262	76556	529589
1263	76617	529536
1264	76678	529476
1265	76738	529412
1266	76797	529342
1267	76858	529281
1268	76918	529218
1269	76974	529126
1270	77033	529055
1271	77095	529002
1272	77155	528935
1273	77214	528863
1274	77275	528804
1275	77333	528729
1276	77395	528678
1277	77455	528615
1278	77517	528562
1279	77578	528500
1280	77635	528421
1281	77694	528347
1282	77758	528306
1283	77818	528247
1284	77882	528207
1285	77946	528171
1286	78005	528100
1287	78066	528039
1288	78125	527967
1289	78186	527912
1290	78245	527840
1291	78300	527740
1292	78360	527674
1293	78420	527613
1294	78483	527564
1295	78544	527510
1296	78605	527452
1297	78667	527397
1298	78728	527339
1299	78789	527285
1300	78852	527238
1301	78922	527239
1302	78980	527165
1303	79038	527086
1304	79098	527018
1305	79162	526980
1306	79220	526903
1307	79279	526834
1308	79339	526768
1309	79399	526704
1310	79460	526647
1311	79524	526607
1312	79584	526543
1313	79645	526486
1314	79706	526424
1315	79768	526373
1316	79829	526320
1317	79894	526282
1318	79953	526214
1319	80015	526163
1320	80078	526116
1321	80138	526054
1322	80196	525972
1323	80254	525899
1324	80316	525844
1325	80376	525782
1326	80436	525716
1327	80495	525642
1328	80556	525588
1329	80619	525541
1330	80679	525479
1331	80737	525401
1332	80797	525337
1333	80857	525272
1334	80923	525243
1335	80982	525174
1336	81038	525085
1337	81101	525036
1338	81163	524986
1339	81223	524919
1340	81281	524842
1341	81342	524786
1342	81402	524722
1343	81463	524660
1344	81524	524603
1345	81581	524522
1346	81643	524468
1347	81702	524399
1348	81763	524338
1349	81823	524278
1350	81881	524196
1351	81942	524138
1352	82001	524070
1353	82065	524029
1354	82122	523946
1355	82180	523872
1356	82242	523819
1357	82303	523759
1358	82360	523675
1359	82417	523595
1360	82478	523534
1361	82536	523456
1362	82597	523401
1363	82657	523335
1364	82720	523292
1365	82783	523245
1366	82842	523176
1367	82903	523119
1368	82965	523061
1369	83030	523028
1370	83089	522959
1371	83148	522888
1372	83212	522849
1373	83275	522805
1374	83336	522744
1375	83397	522688
1376	83456	522621
1377	83518	522565
1378	83579	522508
1379	83642	522460
1380	83705	522416
1381	83769	522374
1382	83829	522315
1383	83891	522258
1384	83949	522185
1385	84010	522124
1386	84071	522069
1387	84133	522016
1388	84196	521972
1389	84259	521923
1390	84320	521865
1391	84376	521774
1392	84437	521719
1393	84497	521652
1394	84556	521585
1395	84616	521518
1396	84678	521467
1397	84739	521406
1398	84801	521358
1399	84861	521294
1400	84924	521245
1401	84988	521207
1402	85048	521144
1403	85109	521084
1404	85168	521011
1405	85230	520962
1406	85287	520876
1407	85345	520801
1408	85407	520746
1409	85466	520681
1410	85527	520623
1411	85587	520556
1412	85649	520502
1413	85710	520442
1414	85770	520381
1415	85828	520305
1416	85887	520235
1417	85949	520184
1418	86009	520117
1419	86069	520055
1420	86128	519980
1421	86186	519908
1422	86246	519845
1423	86306	519780
1424	86367	519719
1425	86426	519647
1426	86482	519559
1427	86542	519498
1428	86605	519451
1429	86665	519389
1430	86725	519324
1431	86787	519271
1432	86848	519209
1433	86908	519147
1434	86967	519080
1435	87024	518993
1436	87083	518926
1437	87140	518845
1438	87198	518767
1439	87257	518699
1440	87324	518673
1441	87383	518603
1442	87442	518537
1443	87503	518474
1444	87564	518415
1445	87623	518347
1446	87683	518281
1447	87743	518222
1448	87801	518146
1449	87861	518082
1450	87921	518016
1451	87981	517952
1452	88042	517894
1453	88102	517830
1454	88160	517752
1455	88223	517707
1456	88285	517652
1457	88344	517582
1458	88406	517535
1459	88468	517478
1460	88527	517409
1461	88585	517336
1462	88645	517271
1463	88706	517209
1464	88765	517141
1465	88824	517073
1466	88886	517018
1467	88947	516961
1468	89008	516904
1469	89068	516837
1470	89129	516781
1471	89188	516713
1472	89247	516642
1473	89304	516560
1474	89363	516491
1475	89421	516414
1476	89486	516379
1477	89549	516335
1478	89608	516264
1479	89668	516198
1480	89728	516137
1481	89789	516079
1482	89847	516004
1483	89905	515928
1484	89964	515856
1485	90021	515776
1486	90085	515733
1487	90146	515679
1488	90205	515609
1489	90268	515559
1490	90331	515512
1491	90389	515440
1492	90451	515388
1493	90514	515337
1494	90574	515276
1495	90633	515208
1496	90694	515146
1497	90757	515100
1498	90815	515022
1499	90873	514947
1500	90931	514874
1501	90997	514846
1502	91052	514755
1503	91117	514715
1504	91176	514646
1505	91235	514580
1506	91294	514509
1507	91356	514456
1508	91415	514387
1509	91475	514324
1510	91534	514251
1511	91591	514172
1512	91653	514118
1513	91713	514053
1514	91774	513996
1515	91832	513924
1516	91890	513848
1517	91949	513780
1518	92009	513714
1519	92068	513644
1520	92126	513570
1521	92188	513518
